FILENAME	SPECIES NAME	SPECIES TAXID	FAMILY TAXID
Absidia_glauca_CBS_101_48	Absidia glauca	4829	4851
Absidia_idahoensis_var_thermophila	Absidia idahoensis	572091	4851
Absidia_repens_NRRL_1336	Absidia repens	90262	4851
Allomyces_macrogynus_ATCC_38327	Allomyces macrogynus	28583	4806
Anaeromyces_robustus_S4	Anaeromyces robustus	1754192	29007
Arthrobotrys_oligospora	Arthrobotrys oligospora	13349	47021
Aspergillus_nidulans	 Aspergillus nidulans	162425	1131492
Basidiobolus_meristosporus_CBS_931_73	Basidiobolus meristosporus	423460	4858
Batrachochytrium_dendrobatidis_JAM81	Batrachochytrium dendrobatidis	109871	-5
Batrachochytrium_dendrobatidis_JEL423	Batrachochytrium dendrobatidis	109871	-5
Batrachochytrium_salamandrivorans	Batrachochytrium salamandrivorans	1357716	-5
Bifiguratus_adelaidae_AZ0501	Bifiguratus adelaidae	1938954	-6
Candida_albicans	Candida albicans	5476	766764
Catenaria_anguillulae_PL171	Catenaria anguillulae	109876	109872
Choanephora_cucurbitarum_KUS_F28377	Choanephora cucurbitarum	101091	101094
Coemansia_reversa_NRRL_1564	Coemansia reversa	61392	4862
Conidiobolus_coronatus_NRRL_28638	Conidiobolus coronatus	34488	34486
Coprinopsis_cinerea	Coprinopsis cinerea	5346	184208
Cryptococcus_neoformans	Cryptococcus neoformans	5207	1884633
Gonapodya_prolifera_JEL478	Gonapodya prolifera	1123529	109943
Hesseltinella_vesiculosa_NRRL_3301	Hesseltinella vesiculosa	101127	4851
Lichtheimia_corymbifera_JMRC_FSU_9682	Lichtheimia corymbifera	42458	499202
Lichtheimia_ramosa_JMRC_FSU_6197	Lichtheimia ramosa	688394	499202
Linderina_pennispora_ATCC_12442	Linderina pennispora	61395	4862
Lobosporangium_transversale_NRRL_3116	Lobosporangium transversale	64571	4854
Mortierella_elongata_AG_77	Mortierella elongata	310910	4854
Mortierella_verticillata_NRRL_6337	Mortierella verticillata	78898	4854
Mucor_ambiguus_NBRC_6742	Mucor ambiguus	91626	34489
Mucor_circinelloides_f_circinelloides_1006PhL	Mucor circinelloides	36080	34489
Mucor_circinelloides_f_lusitanicus_CBS_277_49	Mucor circinelloides	36080	34489
Neocallimastix_californiae_G1	Neocallimastix californiae	1754190	29007
Neurospora_crassa	Neurospora crassa	5141	5148
Parasitella_parasitica_CBS_412_66	Parasitella parasitica	35722	34489
Phycomyces_blakesleeanus_NRRL_1555	Phycomyces blakesleeanus	4837	1344966
Piromyces_finnis	Piromyces finnis	1754191	29007
Piromyces_sp_E2	Piromyces sp. E2	73868	29007
Puccinia_graminis	Puccinia graminis	5297	5262
Rhizoclosmatium_globosum_JEL800	Rhizoclosmatium globosum	329046	1352827
Rhizophagus_irregularis_A1	Rhizophagus irregularis	588596	36751
Rhizophagus_irregularis_DAOM_181602_DAOM_197198	Rhizophagus irregularis	588596	36751
Rhizophagus_irregularis_DAOM_197198w	Rhizophagus irregularis	588596	36751
Rhizopus_delemar_RA_99_880	Rhizopus delemar	936053	1344955
Rhizopus_microsporus_ATCC62417	Rhizopus microsporus	58291	1344955
Rhizopus_microsporus_ATCC_11559	Rhizopus microsporus	58291	1344955
Rhizopus_microsporus_ATCC_52813	Rhizopus microsporus	58291	1344955
Rhizopus_microsporus_CBS_344_29	Rhizopus microsporus	58291	1344955
Rhizopus_microsporus_var_microsporus_ATCC_52814	Rhizopus microsporus	58291	1344955
Schizosaccharomyces_pombe	Schizosaccharomyces pombe	4896	4894
Smittium_culicis_GSMNP	Smittium culicis	133412	4883
Smittium_culicis_ID_206_W2	Smittium culicis	133412	4883
Smittium_mucronatum_ALG_7_W6	Smittium mucronatum	133383	4883
Spizellomyces_punctatus_DAOM_BR117	Spizellomyces punctatus	109760	34479
Syncephalastrum_racemosum_NRRL_2496	Syncephalastrum racemosum	13706	37566
Ustilago_maydis	Ustilago maydis	5270	5268
Yarrowia_lipolytica	Yarrowia lipolytica	4952	34353
Zancudomyces_culisetae_COL_18_3	Zancudomyces culisetae	1213189	4883
